CG
Line A: Structure Position, Actual Response - Global X (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, Actual Response - Global Y (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line C: Structure Position, Actual Response - Global Z (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]

*Time (s),Line A (m),Line B (m),Line C (m)
35.8,-0.269567221403122,-0.043321281671524,-0.774426519870758
35.9,-0.269378840923309,-4.29085828363895E-02,-0.748171031475067
36,-0.26816788315773,-0.042464055120945,-0.721999108791351
36.1,-0.265943497419357,-4.19918075203896E-02,-0.695945203304291
36.2,-0.262730181217194,-4.14958000183105E-02,-0.67004257440567
36.3,-0.258567333221436,-4.09800782799721E-02,-0.644323706626892
36.4,-0.253508508205414,-4.04484607279301E-02,-0.61882084608078
36.5,-0.24762050807476,-3.99045199155807E-02,-0.593564689159393
36.6,-0.240981847047806,-3.93518060445786E-02,-0.568584620952606
36.7,-0.233681291341782,-3.87936420738697E-02,-0.543908715248108
36.8,-0.225816145539284,-3.82330417633057E-02,-0.519563734531403
36.9,-0.217490345239639,-3.76728773117065E-02,-0.495575040578842
37,-0.208812698721886,-3.71159315109253E-02,-0.471966952085495
37.1,-0.199894830584526,-3.65646034479141E-02,-0.448762595653534
37.2,-0.190849438309669,-3.60212735831738E-02,-0.425983488559723
37.3,-0.181788384914398,-3.54881286621094E-02,-0.40365007519722
37.4,-0.172821193933487,-3.49673628807068E-02,-0.381781876087189
