Rotation
Line A: Structure Position, Actual Response - Global RX (15MW-Semi-sub) [°]
Line B: Structure Position, Actual Response - Global RY (15MW-Semi-sub) [°]
Line C: Structure Position, Actual Response - Global RZ (15MW-Semi-sub) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
33.1,1.19995726272464E-02,4.01766374707222E-02,0.285119742155075
33.2,1.60377863794565E-02,4.64023947715759E-02,0.286081373691559
33.3,0.020115539431572,5.27434572577477E-02,0.28643324971199
33.4,2.42118258029222E-02,5.91749325394631E-02,0.286195069551468
33.5,2.83061545342207E-02,6.56701326370239E-02,0.285380661487579
33.6,3.23822051286697E-02,7.21975117921829E-02,0.283997267484665
33.7,3.64154390990734E-02,7.87307545542717E-02,0.28207865357399
33.8,4.03898023068905E-02,8.52362364530563E-02,0.279627293348312
33.9,4.42838035523891E-02,9.16831567883492E-02,0.276658803224564
34,4.80826571583748E-02,9.80387330055237E-02,0.273191779851913
34.1,5.17614632844925E-02,0.104273460805416,0.269240289926529
34.2,5.53085058927536E-02,0.110353223979473,0.264806419610977
34.3,5.87124526500702E-02,0.116240933537483,0.25989106297493
34.4,6.19492642581463E-02,0.121909886598587,0.254507601261139
34.5,6.50094076991081E-02,0.127332761883736,0.248669147491455
34.6,6.78714513778687E-02,0.132480576634407,0.242387965321541
34.7,7.05403909087181E-02,0.13732647895813,0.235679626464844
34.8,7.29973763227463E-02,0.14184482395649,0.228565901517868
34.9,7.52338767051697E-02,0.146017730236053,0.221075356006622
35,7.72532224655151E-02,0.149816945195198,0.213230043649673
35.1,7.90435001254082E-02,0.15322969853878,0.20507524907589
35.2,8.06064680218697E-02,0.156241372227669,0.196654409170151
35.3,8.19421708583832E-02,0.158835917711258,0.188014462590218
35.4,8.30515250563622E-02,0.161003574728966,0.179208979010582
35.5,8.39406102895737E-02,0.162733718752861,0.170287817716599
35.6,8.46159234642982E-02,0.164023905992508,0.161319985985756
35.7,8.50805565714836E-02,0.164873823523521,0.152370527386665
35.8,8.53426977992058E-02,0.165288761258125,0.14350226521492
35.9,8.54154378175735E-02,0.16527184844017,0.1347786039114
36,8.53097960352898E-02,0.164823025465012,0.126275539398193
36.1,8.50393921136856E-02,0.163958549499512,0.118051178753376
